region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2022-03-23,,3ter Karlsruhe Friedensklangweg im Rahmen Karsruher Wochen gegen Rassismus,40.0,
Baden-Württemberg,Karlsruhe,2022-03-24,,"Maskenfreie Feststellung: Menschenrechte sind unveräußerlich. Wir stehen hier für das Wohl der Generationen, die uns folgen werden.",47.0,
Baden-Württemberg,Karlsruhe,2022-03-25,,Globaler Klimastreik von Fridays for Future Karlsruhe,2000.0,
Baden-Württemberg,Karlsruhe,2022-03-25,,Auftakt Fuß- und Radentscheid - Critical Mass,700.0,
Baden-Württemberg,Karlsruhe,2022-03-25,,"Vorfahrt für Art. 2 Abs. 2 GG: Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletztlich. In diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden."" Für eine freie Impfentscheidung",150.0,
Baden-Württemberg,Karlsruhe,2022-03-26,,Falun Dafa und die Verfolgung durch die Kommunisitische Partei Chinas,8.0,
Baden-Württemberg,Karlsruhe,2022-03-26,,bezahlbaren Mieten,15.0,
Baden-Württemberg,Karlsruhe,2022-03-27,,Gegen Krieg und Klimakrise,200.0,
Baden-Württemberg,Karlsruhe,2022-03-28,,"Freie Impfentscheidung, sofortige Beendigung aller Maßnahmen, für Frieden, Freiheit, Selbstbestimmung und eine Diskriminierungsfreie Gesellschaft",750.0,
Baden-Württemberg,Karlsruhe,2022-03-28,,Apotheker als Berufsgeheimnisträger,7.0,
Baden-Württemberg,Karlsruhe,2022-03-31,,Streikversammlung zur Tarifrunde Privates Versicherungsgewerbe,60.0,
Baden-Württemberg,Karlsruhe,2022-03-31,,"Maskenfreie Feststellung: Die sogenannte ""epdidemische Lage von nationaler Tragweite"" besteht nicht, die Maßnahmen wurden für den 20.2.22 aufgehoben - und trotzdem müssen Schüler*innen, im Gegensatz zu feiernden Politiker*innen, und Order*innen für Kundgebungen unter freiem Himmel mancherorts eine Mundnasenbedeckung tragen",47.0,
Baden-Württemberg,Karlsruhe,2022-04-02,,Freiheit-Religion,6.0,
Baden-Württemberg,Karlsruhe,2022-04-02,,Bewegungsmeditation für den inneren und äußeren frieden und gegen die Erstarrung der Herzen,80.0,
Baden-Württemberg,Karlsruhe,2022-04-03,,Pulse of Europe- Europäisch Wählen,100.0,
