	event_date	year	month	day	weekday	disorder_type	event_type	sub_event_type	actor1	assoc_actor_1	inter1	actor2	assoc_actor_2	inter2	interaction	civilian_targeting	location	latitude	longitude	source	source_scale	label	category	class	name	notes11	notes	fatalities	timestamp	population_1km	crowd_size_class	crowd_size	crowd_size_w_n	with_vehicles
109	2023-11-03	2023	11	3	Fri	Demonstrations	Protests	Protest with intervention	Protesters (Germany)		6	Police Forces of Germany (2021-)		1	16		Berlin - Neukolln	52.481	13.4354	Judische Allgemeine	Other		War / Peace	International	 Solidarity with Palastine	at the call of several pro-Palestinian organizations, about 9,000 people, including members of the leftist scene, took to the streets in Berlin - Neukolln (Berlin), expressing solidarity with Palestine and condemning the military campaign of Israel in and around Gaza. At least 68 people were arrested for carrying or chanting 'provocative' slogans.	On 3 November 2023, at the call of several pro-Palestinian organizations, about 9,000 people, including members of the leftist scene, took to the streets in Berlin - Neukolln (Berlin), expressing solidarity with Palestine and condemning the military campaign of Israel in and around Gaza. At least 68 people were arrested for carrying or chanting 'provocative' slogans.	0	1700602883	13698	8	9000.0	9000	
110	2023-11-02	2023	11	2	Thu	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin - Neukolln	52.481	13.4354	Berliner Zeitung	National		War / Peace	International	For Freedom and Speech and Assembly / Palastine -  Israel	at peak 150 people participated in a protest in front of the Ernst-Abbe High School in Berlin - Neukolln (Berlin) under the motto 'For freedom of speech and assembly'. The context of the demonstration is a conflict between a teacher and a student that escalated at the High School after the outbreak of the Israeli war.	On 2 November 2023, at peak 150 people participated in a protest in front of the Ernst-Abbe High School in Berlin - Neukolln (Berlin) under the motto 'For freedom of speech and assembly'. The context of the demonstration is a conflict between a teacher and a student that escalated at the High School after the outbreak of the Israeli war.	0	1699385314	13698	3	150.0	150	
111	2023-11-02	2023	11	2	Thu	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin - Mitte	52.5177	13.4024	YNA	International		Human Rights	International	north korean / dismantling of political prison camps	more than 10 residents demonstrated in front of the North Korean embassy in Berlin - Mitte (Berlin) to call for the release of political prisoners in North Korea, the dismantling of political prison camps, and the guarantee of human rights in North Korea. They were said to gather every Thursday evening.	On 2 November 2023, more than 10 residents demonstrated in front of the North Korean embassy in Berlin - Mitte (Berlin) to call for the release of political prisoners in North Korea, the dismantling of political prison camps, and the guarantee of human rights in North Korea. They were said to gather every Thursday evening.	0	1700602883	23736	1	10.0	10	
112	2023-11-01	2023	11	1	Wed	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin - Charlottenburg-Wilmersdorf	52.5079	13.2639	Der Tagesspiegel	Subnational		War / Peace	International	 Solidarity with Palastine	around 1,200 people participated in a pro-Palestine protest between Adenauerplatz and Henriettenplatz on Kurfurstendamm in Berlin - Charlottenburg-Wilmersdorf (Berlin) under the motto 'Demonstration in solidarity with Palestine'. During the protest isolated violations of the requirement to refrain from propagandistic or violence-glorifying statements and actions occurred, and one loudspeaker van was stopped by the police and excluded from the demonstration.	On 1 November 2023, around 1,200 people participated in a pro-Palestine protest between Adenauerplatz and Henriettenplatz on Kurfurstendamm in Berlin - Charlottenburg-Wilmersdorf (Berlin) under the motto 'Demonstration in solidarity with Palestine'. During the protest isolated violations of the requirement to refrain from propagandistic or violence-glorifying statements and actions occurred, and one loudspeaker van was stopped by the police and excluded from the demonstration.	0	1699385314	5204	6	1200.0	1200	
113	2023-11-01	2023	11	1	Wed	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin - Tempelhof-Schoneberg	52.4406	13.3738	Berliner Morgenpost	Subnational		War / Peace	International	Call for release of the Israeli hostages kidnapped by Hamas on October 7 / Solidarity with Israel	in total 1,800 people participated in a protest on Wittenbergplatz in Berlin - Tempelhof-Schoneberg (Berlin) under the motto 'Call for the release of the Israeli hostages kidnapped by Hamas on October 7'.	On 1 November 2023, in total 1,800 people participated in a protest on Wittenbergplatz in Berlin - Tempelhof-Schoneberg (Berlin) under the motto 'Call for the release of the Israeli hostages kidnapped by Hamas on October 7'.	0	1699385315	6225	6	1800.0	1800	
114	2023-10-31	2023	10	31	Tue	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin - Mitte	52.5177	13.4024	Berliner Morgenpost; Mitteldeutschen Zeitung	Subnational-National		Local	Housing	100% Tempelhofer Feld / against further construction	around 50 people, members of the initiative '100% Tempelhofer Feld', demonstrated in front of the Rotes Rathaus in Berlin - Mitte against further construction on Tempelhofer Feld decided by the Senate.	On 31 October 2023, around 50 people, members of the initiative '100% Tempelhofer Feld', demonstrated in front of the Rotes Rathaus in Berlin - Mitte against further construction on Tempelhofer Feld decided by the Senate.	0	1699385315	23736	2	50.0	50	
115	2023-10-30	2023	10	30	Mon	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Last Generation (Germany)	6			0	60		Berlin - Lichtenberg	52.5197	13.4951	Markische Allgemeine	National		Environment	Anthropocene	Last Generation	3 members of Last Generation staged a protest by blocking traffic on three of the four lanes at the corner of Frankfurter Allee and Mollendorffstrasse in Berlin - Lichtenberg to call for climate protection.	On 30 October 2023, 3 members of Last Generation staged a protest by blocking traffic on three of the four lanes at the corner of Frankfurter Allee and Mollendorffstrasse in Berlin - Lichtenberg to call for climate protection.	0	1699385315	8762	1	3.0	3	
116	2023-10-30	2023	10	30	Mon	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	Last Generation (Germany)	6			0	60		Berlin - Charlottenburg-Wilmersdorf	52.5079	13.2639	Markische Allgemeine	National		Environment	Anthropocene	Last Generation	5 members of Last Generation demonstrated and blocked traffic on the Kaiserdamm in the direction of Ernst-Reuter-Platz (Westend district) in Berlin - Charlottenburg-Wilmersdorf to call for climate protection.	On 30 October 2023, 5 members of Last Generation demonstrated and blocked traffic on the Kaiserdamm in the direction of Ernst-Reuter-Platz (Westend district) in Berlin - Charlottenburg-Wilmersdorf to call for climate protection.	0	1699385315	5204	1	5.0	5	
117	2023-10-29	2023	10	29	Sun	Demonstrations	Protests	Peaceful protest	Protesters (Germany)		6			0	60		Berlin - Mitte	52.5177	13.4024	Mitteldeutschen Zeitung	National		War / Peace	International	 Solidarity with Israel	around 250 people demonstrated on Rosa-Luxemburg-Platz in Berlin - Mitte against anti-Semitism, Islamism, and Hamas.	On 29 October 2023, around 250 people demonstrated on Rosa-Luxemburg-Platz in Berlin - Mitte against anti-Semitism, Islamism, and Hamas.	0	1699385315	23736	4	250.0	250	
118	2023-10-29	2023	10	29	Sun	Demonstrations	Protests	Peaceful protest	Protesters (Germany)	SPD: Social Democratic Party of Germany; Thai Group (Germany)	6			0	60		Berlin - Charlottenburg-Wilmersdorf	52.5079	13.2639	Mitteldeutschen Zeitung	National		Local	Housing	preservation of thai-market	at the call of the Thai Association and SPD, around 50 people demonstrated in Berlin - Charlottenburg-Wilmersdorf for the preservation of the Thai market in Preussenpark.	On 29 October 2023, at the call of the Thai Association and SPD, around 50 people demonstrated in Berlin - Charlottenburg-Wilmersdorf for the preservation of the Thai market in Preussenpark.	0	1699385315	5204	2	50.0	50	
