event_id,event_date,year,month_day,weekday,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,admin2,location,latitude,longitude,source,source_scale,label,category,class,notes11,notes,fatalities,timestamp,population_1km,population_2km,population_5km,population_best,crowd_size_class,crowd_size_cat,crowd_size,crowd_size_w_n,with_vehicles,?
DEU17344,2023-10-03 00:00:00,2023,10,,Demonstrations,Protests,Protest with intervention,Protesters (Germany),,6,Police Forces of Germany (2021-),,1,16,,Berlin,Berlin - Charlottenburg-Wilmersdorf,52.5079,13.2639,General Anzeiger; Kieler Nachrichten,National,,environment,climate,climate activists blocked access roads to the Olympiastadion on the Rudolf-Wissell Bridge and glued themselves to the road in Berlin - Charlottenburg-Wilmersdorf to call for climate protection. Police officers tried physically to detach the people from the road. They gathered on the occasion of a Champion's League game (Union Berlin-Sporting Braga).,"On 3 October 2023, climate activists blocked access roads to the Olympiastadion on the Rudolf-Wissell Bridge and glued themselves to the road in Berlin - Charlottenburg-Wilmersdorf to call for climate protection. Police officers tried physically to detach the people from the road. They gathered on the occasion of a Champion's League game (Union Berlin-Sporting Braga).",0,1696947919,5204,47722,197160,5204,0,,200,,,
DEU17346,2023-10-03 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),AfD: Alternative for Germany; Government of Germany (2021-),6,Protesters (Germany),Grannies Against the Right (Germany); Women (Germany),6,66,,Berlin,Berlin - Mitte,52.5177,13.4024,Die Tageszeitung,National,,pro_right_wing,corona_measurements,"at least 5,000 people, including members of 'Teterow fur Deutschland', 'Oberhavel steht auf' (Oberhavel stands up), AFD members and MPs, demonstrated in the Lustgarten in Berlin - Mitte to call for the resignation of the government, politician liability, and more referendums. People from the anti-coronavirus-related measures scene also participated. Demonstrators denounced energy prices amid inflation and called for more borders control against immigration.","On 3 October 2023, at least 5,000 people, including members of 'Teterow fur Deutschland', 'Oberhavel steht auf' (Oberhavel stands up), AFD members and MPs, demonstrated in the Lustgarten in Berlin - Mitte to call for the resignation of the government, politician liability, and more referendums. People from the anti-coronavirus-related measures scene also participated. Demonstrators denounced energy prices amid inflation and called for more borders control against immigration.",0,1707858599,23736,43046,138680,23736,8,,"5,000","5,000",,
DEU17340,2023-10-02 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Health Workers (Germany),6,,,0,60,,Berlin,Berlin - Mitte,52.5177,13.4024,Der Tagesspiegel; Kolnische Rundschau,Subnational-National,,economy,health/working/economy,"at the call of Virchowbund, an association of practicing doctors, health workers, including members of Kassenarztlichen Vereinigung (Association of Statutory Health Insurance Physicians (KV)), demonstrated in front of the building of the Federal Ministry of Health in Berlin - Mitte under the motto 'Doctors in Need' to denounce poor working conditions due to the government's austerity policy and health insurances. Protesters denounced that many practices are in distress due to inflation, high energy prices, and a shortage of skilled workers. Doctors symbolically threw their scrubs in front of the building.","On 2 October 2023, at the call of Virchowbund, an association of practicing doctors, health workers, including members of Kassenarztlichen Vereinigung (Association of Statutory Health Insurance Physicians (KV)), demonstrated in front of the building of the Federal Ministry of Health in Berlin - Mitte under the motto 'Doctors in Need' to denounce poor working conditions due to the government's austerity policy and health insurances. Protesters denounced that many practices are in distress due to inflation, high energy prices, and a shortage of skilled workers. Doctors symbolically threw their scrubs in front of the building.",0,1696947918,23736,43046,138680,23736,0,,200,,,
DEU17343,2023-10-02 00:00:00,2023,10,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Last Generation (Germany),6,,,0,60,,Berlin,Berlin,52.5244,13.4105,Hessische Niedersachsische Allgemeine,National,,environment,climate,members of Last Generation staged a protest by blocking traffic and gluing themselves to the road in Berlin to call for climate protection. Passers-by spat on the activists and pelted them with eggs.,"On 2 October 2023, members of Last Generation staged a protest by blocking traffic and gluing themselves to the road in Berlin to call for climate protection. Passers-by spat on the activists and pelted them with eggs.",0,1702412017,12063,36936,140673,12063,0,,200,,,
DEU17349,2023-09-30 00:00:00,2023,9,,Demonstrations,Protests,Protest with intervention,Protesters (Germany),,6,Police Forces of Germany (2021-),,1,16,,Berlin,Berlin - Neukolln,52.481,13.4354,Berliner Morgenpost,Subnational,,,war_peace,around 40 people gathered on Hermannplatz in Berlin - Neukolln for a pro-Palestine protest. 7 people were temporarily taken into custody to determine their identity as they sang statements that are forbidden and defined as anti-Semitic in Germany. They were released later on.,"On 30 September 2023, around 40 people gathered on Hermannplatz in Berlin - Neukolln for a pro-Palestine protest. 7 people were temporarily taken into custody to determine their identity as they sang statements that are forbidden and defined as anti-Semitic in Germany. They were released later on.",0,1696947919,13698,46672,192613,13698,1,,40,40,,
DEU17252,2023-09-29 00:00:00,2023,9,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Last Generation (Germany),6,,,0,60,,Berlin,Berlin - Tempelhof-Schoneberg,52.4406,13.3738,Berliner Morgenpost,Subnational,,environment,climate,members of Last Generation demonstrated and blocked traffic on Tempelhofer Damm and the main street in Berlin - Tempelhof-Schoneberg to call for climate protection.,"On 29 September 2023, members of Last Generation demonstrated and blocked traffic on Tempelhofer Damm and the main street in Berlin - Tempelhof-Schoneberg to call for climate protection.",0,1696337012,6225,56478,257092,6225,0,,200,,,
DEU17253,2023-09-29 00:00:00,2023,9,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Last Generation (Germany),6,,,0,60,,Berlin,Berlin - Pankow,52.566,13.4031,Berliner Morgenpost,Subnational,,environment,climate,"members of Last Generation demonstrated and blocked traffic on Schonhauser Allee, at the corner of Eberswalder Strasse in Berlin - Pankow to call for climate protection.","On 29 September 2023, members of Last Generation demonstrated and blocked traffic on Schonhauser Allee, at the corner of Eberswalder Strasse in Berlin - Pankow to call for climate protection.",0,1696337012,12788,67068,246971,12788,0,,200,,,
DEU17254,2023-09-28 00:00:00,2023,9,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),Last Generation (Germany),6,,,0,60,,Berlin,Berlin - Charlottenburg-Wilmersdorf,52.5079,13.2639,Berliner Morgenpost,Subnational,,environment,climate,"members of Last Generation demonstrated and blocked traffic at 3 different exits (Jakob-Kaiser-Platz, Spandauer Damm, Kurfurstendamm) in Berlin - Charlottenburg-Wilmersdorf to call for climate protection.","On 28 September 2023, members of Last Generation demonstrated and blocked traffic at 3 different exits (Jakob-Kaiser-Platz, Spandauer Damm, Kurfurstendamm) in Berlin - Charlottenburg-Wilmersdorf to call for climate protection.",0,1696337012,5204,47722,197160,5204,0,,200,,,
DEU17326,2023-09-28 00:00:00,2023,9,,Demonstrations,Protests,Peaceful protest,Protesters (Germany),,6,,,0,60,,Berlin,Berlin - Mitte,52.5177,13.4024,Berliner Morgenpost,Subnational,,environment,animal_rights/climate,"at the call of Deutsche Tierschutzbund (German Animal Welfare Association), people demonstrated in front of the Federal Chancellery in Berlin - Mitte to denounce their precarious situation. They called for more financial support from the government, and a new animal protection law.","On 28 September 2023, at the call of Deutsche Tierschutzbund (German Animal Welfare Association), people demonstrated in front of the Federal Chancellery in Berlin - Mitte to denounce their precarious situation. They called for more financial support from the government, and a new animal protection law.",0,1696337012,23736,43046,138680,23736,0,,200,,,
DEU17276,2023-09-26 00:00:00,2023,9,,Demonstrations,Protests,Protest with intervention,Protesters (Germany),Last Generation (Germany),6,Police Forces of Germany (2021-),,1,16,,Berlin,Berlin - Mitte,52.5177,13.4024,Berliner Morgenpost,Subnational,,environment,climate,"Last Generation activists protested in Berlin - Mitte (Berlin) for climate protection reasons by blocking the intersections of Muhlendamm and Breite Strasse as well as Strasse des 17. Juni and Bachstrasse. The group simultaneously protested at 5 locations across the city and at some, glued themselves onto the road. The police intervened, sometimes using painful grips and techniques to lead the activists off the road.","On 26 September 2023, Last Generation activists protested in Berlin - Mitte (Berlin) for climate protection reasons by blocking the intersections of Muhlendamm and Breite Strasse as well as Strasse des 17. Juni and Bachstrasse. The group simultaneously protested at 5 locations across the city and at some, glued themselves onto the road. The police intervened, sometimes using painful grips and techniques to lead the activists off the road.",0,1696337012,23736,43046,138680,23736,0,,200,,,
